ID,pred01,pred02,pred03,pred04,pred05,pred06,pred07,class01,class02
1015,7584850,14.50715472,3196.4579796027956,567.8433775970971,34.573870557375066,884.9276580463691,3.7654843118418753,2,1
1018,7535781,6.56673758,3057.9566658601575,545.4061363500566,18.921833912602573,440.9378153615618,1.6642799469630325,1,1
1020,8957358,8.88098931,2975.403452661934,536.8163137383958,35.48325451258663,788.3916485827526,3.185095309876885,1,1
1025,9086627,4.2915,3178.8791594366576,568.3002995516781,0.21725345684000746,0.6714720633957941,0,2,0
1029,10038785,8.17354,3163.4050473593747,558.3524513978566,0.3770140264877145,1.7585789259211129,0,2,0
1033,13123149,13.0349,4525.075221365324,804.3561188823331,1.0265951544149752,7.676844104455492,0,3,0
1034,8984377,14.5385,3083.779095956072,537.2243623966145,16.140445547307927,394.64614785068557,1.5291768059441284,1,1
1037,6896077,7.75557,3110.492461803022,550.1306046120255,15.312469982169853,258.4699900481488,0.7376310198427727,1,1
1039,5036053,10.3077,3048.5344801415813,552.0705725355363,18.908757898042495,382.19517015270054,1.2248383916246746,1,1
1041,9783357,8.68868,3013.5467937659964,544.6322304191849,18.17739086338886,377.89390757258707,1.4996987247121678,1,1
1042,11888367,17.2776,2808.2802359171387,504.1870344178592,83.56818286208944,2292.251503654251,11.073098552355413,1,2
1045,10536153,4.02115,3080.912027919875,552.806132401578,4.955427969886192,98.66504584816953,0.2509627944075119,1,1
1049,9138356,17.4045,3049.2218502216674,549.7897908754895,15.471241631796957,318.03673807565974,1.2186565283025628,1,1
1051,7076477,6.17003,3069.1586976558538,550.1762064671673,13.346693273600637,289.11959963685837,0.9818886026500662,1,1
1054,7187556,9.45471,3023.7255860198306,538.9553433703069,23.268223753063225,452.6367570241643,1.7829152110984432,1,1
1058,7782596,6.40212,2992.2353209003777,539.0681991729967,21.546824802626602,409.98569008045,1.5541373257417905,1,1
1059,8412318,5.97651,3070.3927511470824,551.6026485748674,27.5842259414377,666.2083813922197,2.7660676439679217,1,2
1063,9452886,14.2823,2990.2045241818946,530.6235487103409,17.99034186814684,403.31524725245583,1.564925824953555,1,1
1067,10416589,13.1528,2967.003882710874,524.1611467717537,23.04576355343789,597.0221566384158,2.4826996412264064,1,1
